"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","1800","get started link","chromium","2026-06-30","passed","2026-06-30","","tests\example.spec.ts","",""
"","4089","has title","chromium","2026-06-30","passed","2026-06-30","","tests\example.spec.ts","",""
